"idauniq","W4_Drink","W5_Drink","W6_Drink","W7_Drink","W8_Drink","Sex"
106802,1,1,1,1,1,2
106803,1,1,-99,-99,-99,2
106804,1,1,-99,-99,-99,2
106811,3,2,-99,-99,2,2
106814,2,2,2,1,2,2
106815,1,1,1,2,1,2
106822,2,2,2,2,2,2
106823,2,2,2,2,1,1
106827,1,1,1,-99,1,1
106830,-99,2,2,2,2,1
106833,1,-99,1,2,1,2
106835,-99,-99,-99,-99,-99,1
106836,3,3,3,4,3,1
106847,1,1,1,1,-99,2
106849,2,-99,2,2,2,2
106851,1,2,1,2,2,1
106853,2,2,-99,2,1,2
106862,2,2,1,-99,1,1
106863,2,2,2,2,2,2
106866,1,1,1,-99,1,2
106868,3,3,3,3,3,1
106873,3,3,3,3,3,1
106876,3,3,3,3,3,2
106880,3,2,2,2,1,2
106881,2,2,2,2,2,1
106886,1,2,2,2,3,2
106899,2,2,2,1,-99,2
106905,2,2,3,2,3,1
106906,1,1,1,1,-99,2
106907,3,-99,-99,4,3,1
106910,2,-99,1,1,1,2
106912,3,4,4,3,3,2
106920,1,2,-99,-99,1,2
106922,-99,1,1,1,1,2
106925,1,1,1,1,2,2
106929,1,1,-99,-99,-99,1
106931,-99,2,2,2,1,2
106932,3,3,3,2,3,1
106948,-99,1,-99,2,-99,1
106954,1,1,-99,-99,1,1
106956,2,2,1,1,1,1
106958,3,3,2,2,2,1
106966,2,2,3,3,2,2
106968,1,2,1,2,1,1
106978,2,-99,1,2,1,2
106982,2,1,2,2,2,1
106984,3,2,2,3,2,2
106985,1,1,2,3,3,2
107000,2,2,2,1,1,2
107002,-99,-99,-99,-99,-99,2
107003,2,2,1,1,1,1
107007,3,3,3,3,3,2
107009,1,-99,-99,-99,1,2
107019,4,3,4,3,4,2
107021,3,3,2,3,3,1
107022,3,2,3,3,-99,1
107024,3,3,-99,-99,-99,2
107026,2,3,2,3,2,2
107031,2,2,2,2,2,2
107033,3,3,2,3,3,1
107039,1,1,2,1,-99,2
107042,2,2,2,2,-99,2
107044,2,2,2,1,1,2
107049,2,2,2,2,1,2
107053,3,3,4,3,4,2
107054,-99,-99,-99,-99,-99,2
107055,-99,2,-99,2,3,1
107064,-99,1,2,2,2,1
107065,4,3,3,4,3,1
107066,-99,-99,-99,-99,-99,2
107068,1,1,-99,-99,1,2
107070,2,-99,2,-99,2,2
107072,1,1,2,3,1,2
107074,2,2,2,2,2,2
107084,1,2,1,1,1,2
107099,-99,-99,-99,-99,-99,1
107100,2,2,2,2,2,2
107103,2,3,1,2,-99,1
107110,2,3,2,2,2,2
107115,3,3,3,3,3,1
107121,2,1,1,2,-99,1
107122,3,3,-99,3,3,1
107123,2,1,-99,-99,2,2
107129,2,2,2,2,1,1
107132,3,2,3,3,3,1
107138,3,4,1,2,2,2
107142,-99,2,1,2,1,1
107149,1,3,3,3,3,1
107153,-99,3,-99,3,3,1
107154,1,1,1,2,1,2
107155,3,3,3,3,3,1
107157,-99,1,1,1,-99,1
107160,1,1,1,1,-99,1
107161,3,3,3,3,3,1
107163,-99,-99,-99,-99,-99,2
107165,2,1,1,1,-99,2
107166,1,1,1,1,1,2
107169,2,-99,2,2,1,1
107173,2,2,2,1,1,2
107177,3,3,3,2,-99,2
107185,3,3,3,3,3,1
107186,1,1,1,1,1,2
107187,2,3,3,2,3,2
107189,1,2,2,2,2,1
107192,2,2,-99,1,2,2
107193,2,3,-99,2,2,1
107199,2,2,1,2,1,2
107200,1,1,2,-99,-99,1
107201,1,1,1,1,1,2
107204,1,1,1,4,1,2
107205,1,-99,-99,-99,2,2
107208,2,2,2,2,2,2
107209,-99,3,1,1,3,1
107210,3,3,3,3,3,2
107213,-99,2,2,1,2,1
107219,2,2,1,1,1,2
107221,2,3,2,-99,-99,1
107226,2,2,1,3,2,2
107228,4,3,3,3,3,1
107230,2,2,2,2,2,1
107231,2,3,3,3,3,1
107232,-99,-99,-99,-99,-99,1
107234,2,2,-99,2,2,1
107238,2,-99,-99,2,1,2
107242,3,-99,3,-99,3,1
107243,-99,-99,-99,-99,-99,2
107252,3,4,3,-99,3,1
107253,-99,1,1,-99,1,2
107257,2,1,2,1,-99,2
107261,2,1,2,2,2,2
107262,2,2,2,2,2,1
107266,2,1,2,1,1,1
107269,-99,-99,-99,-99,-99,1
107270,3,3,3,2,2,1
107277,1,1,1,-99,-99,2
107279,2,2,1,-99,-99,2
107284,2,2,1,1,1,1
107285,2,2,2,-99,-99,2
107286,2,2,1,2,2,1
107289,1,1,1,1,-99,1
107295,3,2,4,2,1,1
107296,2,2,1,1,1,2
107297,-99,3,3,3,2,2
107307,1,1,2,2,2,2
107310,2,2,1,-99,2,2
107312,-99,-99,-99,-99,-99,2
107314,3,3,3,3,2,2
107316,1,1,1,-99,-99,2
107319,2,2,2,1,1,1
107320,-99,1,-99,-99,-99,2
107326,2,1,1,2,-99,2
107327,3,2,3,3,2,1
107328,2,2,-99,2,2,1
107329,2,2,1,1,3,1
107341,-99,2,3,3,3,1
107343,-99,-99,-99,-99,-99,2
107344,2,1,2,1,2,1
107345,2,2,-99,2,1,2
107346,1,1,-99,-99,-99,2
107347,2,2,2,2,2,2
107349,-99,-99,-99,-99,-99,2
107353,-99,1,1,-99,-99,2
107355,3,3,3,3,2,1
107369,1,-99,1,1,-99,2
107377,2,3,2,3,2,1
107380,1,1,2,2,2,2
107384,1,2,-99,1,2,1
107387,3,4,3,3,-99,1
107388,1,2,1,2,1,2
107394,2,2,3,3,3,1
107398,2,2,-99,2,-99,2
107399,1,2,2,2,1,1
107409,-99,2,2,2,2,2
107414,3,2,3,3,3,1
107424,2,2,2,1,1,2
107425,2,1,2,2,1,2
107426,2,2,2,2,2,1
107427,2,2,2,3,2,2
107429,3,4,3,3,3,2
107430,-99,3,3,3,3,1
107432,1,-99,2,1,1,1
107435,1,2,2,2,-99,2
107436,-99,2,2,2,2,2
107437,-99,-99,-99,-99,-99,1
107439,2,2,1,1,1,2
107441,2,2,1,2,1,2
107444,3,3,2,2,2,1
107446,2,2,2,2,2,2
107447,2,2,1,1,1,2
107448,2,2,-99,2,2,2
107453,2,2,2,2,2,2
107456,1,2,2,2,2,1
107457,2,2,2,2,-99,1
107466,3,-99,4,4,3,1
107467,-99,-99,2,1,-99,2
107471,4,3,3,3,-99,1
107476,3,3,2,3,3,1
107488,-99,-99,3,3,3,1
107490,1,-99,-99,1,1,2
107491,1,1,-99,-99,-99,2
107496,2,2,-99,2,2,2
107497,2,2,2,2,2,2
107506,3,3,2,3,3,1
107507,1,-99,-99,-99,-99,1
107513,-99,2,3,2,4,2
107515,1,2,2,1,-99,2
107517,1,1,1,1,2,2
107523,3,2,2,2,-99,2
107529,2,1,3,3,3,1
107530,2,2,2,2,2,1
107535,2,2,3,2,2,1
107543,2,2,2,2,2,2
107544,-99,-99,-99,-99,-99,2
107550,-99,1,1,2,2,1
107552,2,1,1,2,1,1
107556,2,-99,2,2,2,1
107557,4,4,4,3,3,1
107559,-99,1,2,1,1,2
107562,1,1,-99,2,1,1
107564,2,2,2,3,2,2
107569,2,1,2,1,1,2
107572,4,4,-99,-99,-99,2
107576,2,1,-99,1,2,1
107577,-99,-99,3,1,2,2
107579,3,3,4,2,3,2
107581,3,2,2,3,3,1
107588,2,1,1,2,2,2
107593,1,1,1,1,1,2
107594,2,2,2,2,-99,2
107598,2,1,2,2,1,2
107603,2,2,2,1,2,2
107604,3,2,3,3,2,2
107605,1,3,3,3,-99,1
107614,2,2,2,1,1,1
107615,3,2,2,2,2,2
107616,3,3,3,2,2,1
107619,3,3,3,3,3,2
107622,2,2,2,2,2,2
107626,-99,1,-99,1,-99,2
107628,2,1,2,1,2,2
107636,2,2,2,2,2,2
107638,3,3,3,3,3,2
107641,1,1,1,1,1,1
107642,-99,-99,-99,-99,-99,2
107647,3,2,2,2,2,1
107652,-99,-99,-99,-99,-99,2
107653,1,1,1,1,1,2
107657,-99,-99,1,-99,-99,2
107658,2,2,2,2,2,2
107670,1,1,1,2,1,1
107676,3,2,2,2,2,1
107680,2,3,3,3,-99,1
107683,-99,2,-99,-99,-99,1
107693,4,4,3,3,3,1
107696,3,-99,-99,-99,3,1
107698,3,3,3,3,3,2
107699,2,2,2,2,2,1
107700,-99,-99,-99,-99,-99,2
107701,-99,-99,-99,-99,-99,2
107703,2,2,2,1,1,2
107711,3,2,-99,2,-99,1
107718,2,1,2,2,2,2
107720,-99,3,2,1,2,2
107725,4,4,4,4,4,1
107737,2,2,2,2,2,2
107739,-99,-99,-99,-99,-99,2
107743,3,4,2,3,3,2
107746,3,3,3,3,3,2
107747,-99,-99,-99,-99,-99,2
107748,3,4,2,2,2,2
107749,3,2,2,2,2,2
107751,-99,-99,2,-99,-99,2
107758,-99,2,1,1,-99,1
107759,2,2,2,1,1,2
107768,3,3,3,2,-99,1
107770,-99,-99,-99,-99,-99,1
107775,3,3,3,3,3,1
107778,1,2,2,2,-99,1
107785,3,3,3,3,3,1
107786,-99,-99,-99,-99,-99,2
107787,-99,-99,1,1,1,1
107788,-99,-99,-99,-99,-99,2
107791,3,3,2,3,3,2
107795,2,1,1,1,2,2
107796,-99,-99,-99,2,-99,2
107797,-99,-99,-99,-99,-99,2
107805,2,2,2,2,2,2
107817,-99,-99,-99,-99,-99,2
107822,4,4,3,4,4,1
107823,1,2,2,1,1,2
107824,1,2,2,1,1,2
107826,2,1,2,2,3,1
107827,2,2,3,3,3,1
107836,-99,-99,-99,1,1,1
107841,1,1,2,-99,1,2
107844,3,2,2,2,3,1
107845,-99,2,1,2,2,2
107847,1,1,2,1,2,2
107848,1,2,-99,1,1,1
107853,1,-99,1,1,2,2
107854,1,-99,-99,-99,-99,2
107857,2,2,2,2,2,1
107862,-99,2,1,1,-99,2
107871,2,2,-99,2,-99,2
107873,2,1,1,-99,1,2
107874,2,1,1,1,2,2
107877,2,2,-99,-99,2,2
107880,-99,-99,-99,-99,1,2
107882,4,3,-99,4,3,2
107886,1,2,2,2,-99,2
107887,3,3,3,3,4,2
107896,1,1,1,1,-99,2
107899,3,2,3,3,3,1
107904,2,2,3,2,2,2
107907,3,3,3,3,3,1
107908,2,1,2,1,2,2
107910,1,2,-99,2,1,2
107913,-99,1,2,1,1,2
107914,3,3,3,3,1,1
107922,3,2,2,1,2,1
107926,1,2,1,1,-99,2
107929,3,1,3,1,4,2
107930,2,3,2,3,3,1
107935,-99,-99,-99,-99,-99,1
107943,3,3,3,2,2,2
107945,1,-99,-99,-99,-99,2
107946,3,3,3,4,3,2
107947,3,3,3,3,3,2
107948,3,1,1,1,-99,2
107950,3,3,3,3,2,1
107952,2,2,2,2,-99,2
107953,2,2,2,2,2,1
107964,3,4,3,-99,3,1
107978,3,3,3,3,3,2
107981,1,2,-99,-99,2,1
107986,3,2,2,2,3,1
107987,1,1,2,-99,1,2
107990,2,1,2,1,1,2
107996,-99,1,-99,1,-99,2
108002,3,2,2,2,2,1
108010,3,2,2,2,2,1
108018,2,2,1,1,1,2
108023,-99,-99,-99,-99,-99,2
108031,4,3,3,3,3,1
108034,2,2,2,3,2,1
108037,3,3,2,3,3,2
108038,3,3,3,3,3,1
108042,2,1,2,2,-99,1
108047,-99,3,2,2,2,2
108048,2,2,2,2,2,2
108050,-99,1,-99,1,-99,2
108055,2,-99,1,-99,1,2
108056,3,3,2,2,2,2
108057,2,2,2,1,1,2
108061,-99,1,1,1,2,2
108071,1,1,1,2,1,1
108072,1,-99,1,2,2,1
108075,2,2,2,2,-99,2
108076,-99,-99,-99,-99,-99,2
108083,2,2,1,2,1,2
108087,4,4,-99,4,4,1
108089,2,2,2,2,2,1
108093,2,-99,2,-99,1,1
108097,2,-99,2,2,2,1
108098,3,3,-99,3,2,1
108109,2,2,2,-99,-99,1
108111,3,3,3,3,3,2
108125,3,3,3,3,3,1
108126,1,1,1,2,1,2
108134,2,2,1,2,2,2
108136,1,2,2,-99,-99,2
108139,2,1,1,1,1,2
108153,3,2,3,2,2,2
108154,1,-99,1,1,1,1
108167,1,1,1,2,1,1
108170,2,2,2,2,1,2
108171,2,2,1,2,2,2
108174,4,4,4,4,4,1
108183,2,-99,2,1,2,2
108188,2,2,2,2,2,1
108191,1,1,1,1,2,2
108192,3,3,3,4,4,1
108194,-99,3,2,3,-99,2
108195,1,1,1,2,1,1
108200,2,2,2,2,2,1
108202,2,2,2,2,2,1
108206,4,4,4,4,2,2
108208,-99,2,3,1,2,2
108217,3,2,2,-99,-99,2
108224,2,1,1,1,1,2
108232,1,-99,-99,-99,-99,1
108236,2,2,2,2,1,2
108244,2,-99,-99,-99,-99,1
108246,3,3,3,3,3,1
108253,-99,-99,-99,-99,-99,2
108259,3,3,2,1,3,1
108260,2,1,2,2,2,1
108263,-99,-99,3,2,2,1
108270,2,1,1,-99,1,2
108275,2,2,3,2,2,1
108276,-99,-99,-99,-99,-99,2
108277,2,-99,-99,2,1,2
108281,1,1,1,2,1,2
108283,-99,-99,-99,-99,-99,1
108286,1,-99,-99,1,-99,2
108290,2,2,-99,2,-99,2
108291,3,2,3,2,2,2
108296,3,2,3,2,3,1
108297,-99,-99,-99,-99,-99,2
108303,-99,4,3,4,3,1
108306,2,2,3,-99,3,2
108311,-99,-99,-99,-99,-99,2
108321,-99,-99,2,-99,-99,2
108324,1,2,1,1,1,2
108326,-99,2,2,2,1,2
108337,-99,1,-99,-99,-99,2
108340,4,4,3,3,4,1
108348,2,2,1,1,1,1
108357,2,2,2,3,1,2
108359,2,3,2,2,3,2
108362,2,1,1,2,1,2
108364,-99,2,2,2,-99,1
108365,1,1,1,1,1,2
108367,2,-99,2,2,2,2
108372,2,2,3,2,3,1
108375,3,3,3,4,4,2
108380,3,2,3,3,2,2
108382,2,2,2,2,2,1
108392,2,3,3,3,2,2
108393,1,3,2,1,1,1
108397,1,2,2,3,2,1
108398,3,3,1,1,2,1
108402,3,2,3,3,2,1
108404,3,3,3,3,2,2
108409,1,1,-99,2,-99,2
108414,2,3,3,3,4,1
108416,3,2,2,2,2,1
108421,3,3,3,1,1,1
108423,3,3,3,3,3,2
108425,2,1,2,2,1,2
108428,3,3,3,3,3,1
108434,4,3,3,4,3,2
108436,1,-99,1,-99,-99,2
108439,2,2,2,3,3,1
108446,2,1,1,1,1,2
108451,1,-99,-99,1,1,2
108453,-99,2,2,2,2,2
108455,2,2,2,2,2,2
108461,3,2,1,1,1,1
108466,1,2,2,2,2,2
108473,3,2,2,3,3,1
108474,2,2,2,3,2,2
108481,3,3,3,3,3,1
108484,1,1,2,-99,1,2
108488,1,1,1,1,2,2
108493,-99,2,-99,-99,1,2
108498,-99,1,-99,-99,-99,1
108501,-99,2,1,1,-99,1
108502,2,3,2,2,2,2
108506,2,1,1,2,2,1
108512,2,2,1,1,1,2
108517,2,1,1,2,2,2
108519,2,2,2,2,1,2
108522,1,2,1,1,1,2
108523,1,-99,-99,-99,-99,2
108527,2,1,2,2,2,2
108533,2,2,1,-99,2,2
108534,-99,3,2,2,2,2
108535,1,1,-99,1,1,2
108540,-99,-99,-99,-99,-99,2
108541,1,2,1,1,1,1
108544,4,3,4,4,4,2
108546,2,1,-99,2,-99,2
108552,-99,1,1,-99,2,2
108555,2,2,3,3,3,2
108559,2,2,2,2,2,1
108560,2,3,3,2,2,1
108562,3,3,2,2,3,1
108570,2,3,3,-99,3,1
108571,2,-99,2,2,2,2
108574,2,2,1,1,-99,2
108576,1,1,2,1,1,2
108577,2,2,2,-99,1,2
108580,1,1,-99,1,2,1
108584,1,1,-99,1,1,1
108586,3,3,3,3,3,1
108588,3,3,4,4,4,1
108592,3,3,3,-99,3,1
108593,2,2,2,2,2,1
108600,2,2,2,2,2,2
108602,3,-99,1,-99,-99,2
108609,2,2,2,2,2,2
108610,2,-99,-99,-99,-99,2
108618,3,3,2,3,3,1
108619,2,1,1,2,2,1
108622,-99,2,-99,-99,-99,1
108623,2,2,2,2,2,1
108625,3,2,3,3,3,1
108626,-99,1,-99,-99,-99,2
108630,1,1,1,-99,1,2
108631,3,3,2,2,3,1
108634,3,3,2,3,-99,2
108636,-99,-99,-99,-99,-99,2
108640,2,2,2,2,2,2
108649,1,2,2,1,2,2
108653,2,1,1,2,2,2
108654,2,1,1,1,-99,1
108655,-99,2,2,2,2,2
108656,-99,1,-99,-99,-99,1
108657,-99,3,-99,3,-99,1
108660,3,3,3,-99,2,1
108664,-99,-99,-99,-99,-99,2
108665,-99,-99,-99,-99,-99,2
108668,-99,-99,-99,-99,-99,2
108669,2,1,1,1,2,2
108670,1,1,1,-99,-99,2
108671,3,3,3,3,3,1
108673,3,3,3,3,-99,1
108674,2,1,1,1,1,2
108677,3,3,3,3,2,1
108679,1,2,2,2,-99,1
108681,2,2,3,3,2,2
108688,2,2,2,1,1,1
108689,2,2,2,-99,2,1
108690,2,3,3,3,-99,2
108691,4,4,4,4,4,2
108692,-99,-99,-99,-99,-99,2
108693,2,2,-99,1,1,2
108696,2,3,3,3,-99,1
108698,1,1,1,1,2,2
108703,2,1,2,1,1,2
108704,2,1,3,2,2,1
108707,2,-99,2,1,1,2
108712,-99,-99,-99,-99,-99,2
108715,2,1,1,1,1,2
108716,1,2,2,2,1,2
108719,3,3,2,2,2,1
108720,1,1,1,1,1,1
108721,2,2,2,2,2,1
108722,3,3,3,1,3,1
108724,3,3,2,3,2,1
108725,1,1,2,2,2,2
108728,1,1,1,1,1,2
108733,2,2,2,1,2,2
108735,2,2,1,2,2,2
108736,1,1,1,1,1,2
108743,-99,-99,-99,-99,-99,1
108744,1,1,-99,1,1,2
108747,3,3,3,2,3,1
108749,-99,-99,-99,-99,-99,2
108750,2,2,1,2,2,2
108754,1,1,-99,1,-99,2
108755,2,2,-99,-99,2,1
108760,2,1,1,1,1,1
108765,-99,-99,-99,-99,-99,1
108769,3,3,3,3,3,1
108770,2,-99,2,2,2,1
108772,-99,-99,2,2,2,1
108778,4,4,3,3,4,2
108779,2,2,2,1,2,1
108783,3,3,-99,2,3,1
108785,3,3,2,1,1,1
108786,3,2,2,2,-99,2
108789,2,2,2,2,2,2
108792,-99,-99,-99,-99,-99,2
108794,-99,-99,2,-99,2,2
108796,3,3,2,2,3,1
108798,2,2,2,-99,1,2
108807,-99,-99,-99,-99,-99,1
108815,1,1,1,-99,-99,2
108821,4,4,4,3,4,1
108824,1,1,-99,-99,-99,2
108825,3,3,3,3,3,1
108828,2,3,2,2,2,2
108831,1,1,1,1,-99,2
108834,2,2,2,2,2,2
108835,3,3,3,3,3,2
108837,1,1,-99,-99,-99,1
108843,3,3,2,3,3,1
108850,3,3,3,3,3,2
108854,1,-99,1,-99,2,2
109677,1,1,2,3,3,1
109692,-99,-99,-99,-99,-99,1
110039,-99,-99,-99,-99,-99,1
110169,-99,-99,-99,-99,-99,2
110394,3,3,3,3,3,1
110607,-99,2,3,-99,2,1
110636,2,1,2,2,1,2
110676,2,2,2,2,2,1
110680,2,2,2,2,2,2
110842,1,1,1,1,1,2
110845,1,2,2,1,2,1
110851,-99,-99,-99,-99,-99,2
110854,1,1,1,-99,-99,2
110856,2,1,1,2,1,2
110860,1,-99,1,1,-99,2
110862,2,2,2,2,2,2
110875,1,1,-99,-99,-99,2
110883,1,1,1,-99,1,2
110888,-99,-99,-99,-99,-99,1
110890,1,1,1,2,2,2
110891,-99,-99,1,1,1,2
110898,2,2,2,2,1,2
110901,3,3,2,3,3,1
110906,-99,-99,-99,-99,1,2
110909,-99,1,1,1,-99,2
110912,2,2,2,2,2,2
110916,2,2,-99,-99,-99,1
110917,1,1,1,1,1,2
110919,2,-99,2,-99,-99,2
110927,-99,2,1,1,1,1
110929,-99,3,3,2,3,1
110933,2,2,2,2,2,2
110939,2,2,2,2,2,2
110940,2,-99,-99,-99,-99,2
110944,2,1,1,2,2,2
110945,1,1,-99,-99,-99,2
110948,3,4,1,2,3,1
110954,2,-99,-99,-99,-99,2
110963,3,3,3,3,2,1
110966,1,2,2,2,1,2
110970,3,3,3,3,3,1
110977,2,3,3,1,2,1
110981,2,1,1,1,1,2
110986,-99,-99,-99,-99,1,1
110988,2,2,3,2,2,2
110989,2,-99,-99,-99,-99,2
110990,2,2,2,3,2,2
110993,-99,3,3,3,3,1
111002,2,2,2,2,2,2
111003,1,1,1,-99,1,2
111014,-99,-99,-99,-99,-99,2
111015,2,3,3,2,2,1
111029,2,2,2,2,2,2
111035,4,3,2,2,2,1
111042,2,2,2,3,2,1
111044,2,3,3,3,3,2
111046,1,1,2,2,1,2
111048,2,1,2,1,2,2
111051,2,2,2,2,2,1
111053,2,2,2,-99,3,2
111054,3,3,3,2,1,1
111059,2,1,1,1,2,2
111062,-99,-99,-99,-99,-99,2
111066,2,1,2,2,1,1
111069,-99,-99,-99,-99,-99,2
111070,-99,3,3,3,3,2
111075,4,3,3,4,4,2
111080,3,2,2,2,2,2
111100,2,2,2,3,2,2
111102,1,1,1,1,1,1
111111,1,2,2,2,2,1
111119,-99,1,-99,-99,-99,1
111124,-99,3,3,2,1,1
111126,-99,1,2,1,2,2
111128,3,4,3,3,3,1
111129,2,1,2,-99,-99,2
111138,2,1,2,2,2,1
111140,2,2,2,1,1,1
111145,-99,-99,-99,-99,-99,1
111147,2,2,2,-99,2,2
111148,2,2,2,2,2,1
111150,2,2,2,2,2,1
111155,2,-99,2,1,2,1
111168,1,2,1,2,2,2
111174,2,1,1,1,2,1
111176,2,3,3,2,3,1
111185,3,3,3,3,3,1
111189,-99,1,1,1,1,2
111191,2,2,-99,-99,2,1
111192,2,2,2,1,2,2
111193,-99,-99,1,-99,-99,2
111202,-99,3,3,-99,3,2
111204,2,2,2,1,2,2
111212,2,2,-99,2,2,1
111219,1,1,1,1,2,2
111221,1,-99,1,1,1,2
111223,-99,-99,-99,-99,-99,2
111224,2,2,2,2,2,1
111228,4,4,4,4,3,2
111229,4,3,3,1,3,1
111236,3,2,2,2,2,2
111238,-99,3,2,1,2,1
111239,-99,1,1,1,1,2
111240,3,3,4,4,3,2
111243,1,2,1,1,-99,2
111244,1,2,1,2,2,1
111251,3,-99,-99,-99,-99,1
111257,4,3,3,3,3,1
111259,2,2,2,2,2,2
111260,2,-99,-99,-99,3,1
111264,2,3,2,3,2,2
111271,1,2,1,2,2,1
111275,2,2,-99,2,-99,1
111288,2,2,2,3,2,2
111292,3,3,2,3,3,1
111293,1,1,1,-99,-99,1
111300,2,2,1,-99,-99,2
111302,2,2,3,2,2,2
111305,1,2,1,1,1,2
111306,-99,2,-99,2,3,1
111308,2,2,2,2,2,2
111309,1,1,2,1,2,2
111310,3,2,3,3,3,1
111317,1,1,-99,-99,-99,2
111320,2,2,3,2,2,1
111321,2,2,2,2,2,2
111330,-99,-99,-99,-99,-99,2
111331,-99,-99,-99,-99,-99,2
111333,-99,-99,-99,-99,-99,2
111335,-99,3,-99,3,3,1
111339,2,1,2,-99,2,2
111344,-99,2,1,2,1,2
111346,-99,-99,-99,-99,-99,1
111347,-99,1,1,-99,1,2
111348,-99,-99,-99,-99,-99,2
111349,2,1,2,3,2,1
111351,1,1,1,1,1,2
111357,2,-99,3,3,3,2
111363,2,2,2,2,2,2
111365,2,3,1,2,2,1
111367,3,3,3,3,3,2
111370,3,3,3,2,2,2
111380,3,3,3,-99,-99,1
111384,2,2,2,2,1,2
111385,2,2,2,2,2,1
111386,-99,2,-99,2,3,1
111391,1,2,-99,2,2,1
111395,-99,3,3,2,2,2
111396,2,-99,-99,2,-99,2
111398,1,1,1,1,1,2
111399,3,3,3,3,3,2
111400,3,2,3,3,3,2
111410,3,3,3,2,3,1
111411,2,2,2,2,2,2
111412,1,1,-99,2,1,2
111413,2,1,3,2,2,2
111414,-99,-99,1,1,-99,2
111424,2,2,1,2,2,2
111431,2,1,1,1,1,2
111436,3,-99,3,2,3,2
111441,2,2,3,3,2,2
111443,3,3,3,3,2,2
111448,3,3,3,3,2,1
111451,2,1,1,3,1,2
111453,2,2,2,2,2,2
111456,2,1,1,1,1,2
111457,2,2,-99,3,2,2
111461,1,1,1,1,-99,2
111462,2,1,-99,-99,-99,2
111468,2,3,2,3,2,1
111476,2,3,3,3,-99,1
111484,2,2,2,2,2,1
111489,1,2,1,1,1,2
111494,4,3,3,3,3,1
111498,3,3,4,3,4,1
111500,2,2,3,2,1,2
111501,2,2,2,2,-99,2
111510,2,2,2,2,2,1
111514,1,1,1,1,-99,2
111521,2,1,2,-99,-99,1
111525,1,1,2,1,1,2
111526,1,1,-99,1,-99,2
111527,1,2,1,1,1,2
111528,1,1,-99,2,1,1
111534,3,2,3,2,1,1
111543,-99,2,-99,-99,-99,2
111544,1,1,1,1,1,1
111545,2,-99,2,-99,-99,1
111553,2,2,2,2,1,1
111556,1,2,1,1,1,1
111561,1,-99,-99,-99,1,1
111566,2,2,1,2,2,1
111567,1,1,1,1,1,2
111568,1,2,1,-99,-99,1
111570,3,3,3,3,-99,1
111571,2,2,1,2,-99,2
111574,3,2,3,3,3,1
111577,3,1,3,3,3,1
111578,3,3,3,3,2,1
111580,3,3,2,3,3,2
111584,3,2,2,2,2,1
111587,3,3,3,3,3,1
111594,2,2,2,2,2,2
111615,2,-99,2,2,2,1
111622,1,1,-99,1,1,1
111627,-99,1,2,2,1,2
111630,-99,-99,-99,1,1,1
111638,-99,1,-99,1,1,2
111641,3,1,1,1,2,1
111644,3,4,-99,2,3,2
111647,2,1,1,-99,1,2
111655,2,2,2,3,2,2
111657,3,2,3,2,2,2
111663,2,2,2,2,1,1
111664,2,1,2,2,2,1
111669,1,1,2,1,1,1
111672,-99,3,3,-99,-99,1
111673,2,1,1,1,1,2
111676,-99,3,3,3,3,2
111682,2,2,1,1,2,2
111684,2,-99,2,2,2,2
111685,-99,-99,-99,-99,1,2
111691,2,-99,-99,-99,2,2
111696,4,4,4,4,3,1
111700,2,2,2,2,2,2
111703,3,2,-99,1,2,1
111706,3,3,3,3,3,2
111707,3,2,3,3,2,1
111710,-99,-99,-99,-99,-99,1
111716,2,1,1,1,1,2
111720,2,1,1,1,-99,1
111722,3,-99,3,3,1,1
111724,-99,-99,-99,-99,-99,2
111725,2,2,2,3,2,2
111730,4,-99,-99,-99,-99,1
111732,-99,-99,-99,-99,-99,1
111738,1,-99,-99,-99,-99,2
111742,3,-99,2,3,-99,1
111751,2,2,2,2,1,2
111752,1,2,3,2,2,2
111760,1,1,-99,-99,-99,1
111762,3,2,3,3,3,2
111766,2,2,3,2,2,2
111768,-99,2,1,1,1,2
111771,2,1,1,-99,2,2
111776,1,1,1,2,2,2
111779,-99,-99,-99,-99,-99,2
111780,2,2,-99,1,1,1
111783,3,3,3,3,4,2
111784,2,2,2,2,1,2
111790,2,3,3,3,3,2
111791,3,2,-99,2,3,2
111792,2,1,1,-99,-99,2
111795,2,2,2,2,3,2
111804,1,-99,-99,-99,-99,2
111806,-99,-99,-99,-99,2,2
111815,3,3,3,3,3,1
111826,-99,-99,1,-99,-99,2
111827,2,2,2,2,2,2
111831,-99,4,2,3,-99,1
111832,-99,1,-99,-99,1,2
111833,3,3,3,3,3,1
111837,2,3,3,1,3,1
111842,3,2,3,3,2,1
111844,2,-99,-99,-99,-99,2
111850,2,1,2,1,1,2
111854,1,1,1,-99,1,2
111855,2,3,-99,-99,2,1
111863,4,3,3,3,3,2
111875,2,1,1,1,1,2
111876,2,1,1,2,2,1
111877,1,1,-99,1,2,2
111880,3,2,2,2,3,2
111882,1,1,1,1,1,2
111892,-99,3,3,3,4,2
111895,-99,1,-99,-99,-99,1
111896,3,3,-99,2,3,1
111899,2,2,2,2,2,2
111901,1,2,2,1,1,2
111903,1,1,1,-99,-99,2
111910,1,2,2,1,1,1
111914,2,1,1,2,2,2
111918,2,2,2,1,1,2
111920,2,2,2,1,2,1
111921,-99,-99,-99,-99,-99,2
111928,2,1,1,1,-99,2
111929,1,1,-99,1,-99,2
